source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,2009,6.88862,46.34956,2.608728,0.944336,151.649763
CAMELS,2011,7.35791,46.21909,2.966065,0.952723,172.421356
CAMELS,2016,8.19488,47.48254,1.896122,0.898668,110.227684
CAMELS,2018,8.27127,47.42103,2.519278,0.92844,146.452809
CAMELS,2019,8.09203,46.74574,2.829182,0.951852,164.464682
CAMELS,2020,9.00929,46.19377,2.312242,0.859246,134.422969
CAMELS,2024,7.09128,46.12566,2.75979,0.946604,160.430609
CAMELS,2029,7.28339,47.12206,2.046721,0.901615,118.982223
CAMELS,2030,7.61183,46.76457,2.706727,0.945884,157.347012
CAMELS,2033,9.20635,46.77581,2.605965,0.930844,151.488281
CAMELS,2034,6.93607,46.83591,0.895078,0.870475,52.03583
CAMELS,2044,8.68198,47.59652,1.675237,0.861644,97.390335
CAMELS,2053,7.06275,46.09768,2.62007,0.927969,152.321706
CAMELS,2056,8.62057,46.88391,2.830926,0.94889,164.565528
CAMELS,2063,7.83062,47.26659,1.951009,0.899604,113.418167
CAMELS,2067,10.46542,46.88578,2.743347,0.944528,159.476213
CAMELS,2068,8.91033,46.16339,2.259377,0.819361,131.338941
CAMELS,2070,7.74880,46.95444,1.849261,0.865143,107.503983
CAMELS,2078,10.07996,46.29526,2.645881,0.927431,153.811793
CAMELS,2079,10.07961,46.29551,2.255852,0.53921,131.150148
CAMELS,2084,8.59917,47.00072,2.554463,0.931809,148.496275
CAMELS,2085,7.18435,47.05559,2.404075,0.928651,139.755357
CAMELS,2086,8.96940,46.37647,2.360976,0.670824,137.262594
CAMELS,2087,8.58962,46.64231,2.745383,0.942676,159.5921
CAMELS,2091,7.79990,47.56071,2.0668,0.893698,120.151529
CAMELS,2099,8.52544,47.39059,2.142342,0.884886,124.545024
CAMELS,2102,8.24517,46.89625,1.910148,0.850273,111.052231
CAMELS,2104,9.08841,47.13156,2.453576,0.919415,142.634964
CAMELS,2105,9.83407,46.48469,2.927585,0.951209,170.185373
CAMELS,2106,7.61878,47.51832,1.147976,0.835213,66.741513
CAMELS,2109,7.87153,46.66421,3.072186,0.958681,178.590851
CAMELS,2110,8.39612,47.22235,2.553335,0.931138,148.431867
CAMELS,2112,9.41063,47.33199,2.147066,0.896724,124.816503
