source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,2009,6.88862,46.34956,3.206467,0.883483,186.34427
CAMELS,2011,7.35791,46.21909,3.268157,0.912624,189.933494
CAMELS,2016,8.19488,47.48254,2.393943,0.321463,139.017123
CAMELS,2018,8.27127,47.42103,3.128135,0.749052,181.824678
CAMELS,2019,8.09203,46.74574,3.325299,0.848963,193.26189
CAMELS,2020,9.00929,46.19377,3.915202,0.471384,227.607897
CAMELS,2024,7.09128,46.12566,3.328218,0.888862,193.42128
CAMELS,2029,7.28339,47.12206,2.647878,0.3742,153.820299
CAMELS,2030,7.61183,46.76457,3.089345,0.832816,179.542369
CAMELS,2033,9.20635,46.77581,3.188509,0.753115,185.308692
CAMELS,2034,6.93607,46.83591,0.410716,0.448945,23.954872
CAMELS,2044,8.68198,47.59652,2.369753,0.086082,137.436798
CAMELS,2053,7.06275,46.09768,2.913502,0.901629,169.332039
CAMELS,2056,8.62057,46.88391,3.076985,0.837359,178.827125
CAMELS,2063,7.83062,47.26659,2.50779,0.34072,145.662099
CAMELS,2067,10.46542,46.88578,3.058857,0.881751,177.792368
CAMELS,2068,8.91033,46.16339,4.055275,0.480458,235.812035
CAMELS,2070,7.74880,46.95444,2.706038,0.263476,157.239248
CAMELS,2078,10.07996,46.29526,3.124009,0.72401,181.540705
CAMELS,2079,10.07961,46.29551,3.39717,0.062724,197.587954
CAMELS,2084,8.59917,47.00072,3.024248,0.714014,175.801247
CAMELS,2085,7.18435,47.05559,2.937631,0.718789,170.735282
CAMELS,2086,8.96940,46.37647,3.946394,0.480215,229.426136
CAMELS,2087,8.58962,46.64231,3.011677,0.785854,175.021018
CAMELS,2091,7.79990,47.56071,2.918216,0.453929,169.604951
CAMELS,2099,8.52544,47.39059,3.034207,0.509509,176.368629
CAMELS,2102,8.24517,46.89625,3.011688,0.485298,175.030869
CAMELS,2104,9.08841,47.13156,3.001638,0.727848,174.489192
CAMELS,2105,9.83407,46.48469,3.098441,0.832883,180.083848
CAMELS,2106,7.61878,47.51832,0.767724,0.364034,44.659377
CAMELS,2109,7.87153,46.66421,3.314193,0.882698,192.612398
CAMELS,2110,8.39612,47.22235,3.125639,0.774332,181.682435
CAMELS,2112,9.41063,47.33199,3.184832,0.294793,185.170946
CAMELS,2117,7.21308,46.08072,2.948213,0.871278,171.342258
CAMELS,2119,7.16903,46.80387,2.50499,0.475065,145.520612
CAMELS,2122,7.38232,47.28397,0.694779,0.378264,40.425612
CAMELS,2125,8.42497,47.21532,3.127602,0.24779,181.771756
CAMELS,2126,8.95299,47.49633,0.777971,0.277603,45.186205
CAMELS,2130,8.04977,47.55580,3.666452,0.294698,213.113663
CAMELS,2132,8.65294,47.51876,1.138757,0.21248,66.074509
CAMELS,2135,7.44796,46.93309,3.094968,0.820309,179.874897
CAMELS,2139,9.65579,47.44982,3.10313,0.175345,180.343777
CAMELS,2141,9.57413,46.66252,2.956933,0.901739,171.896846
