source,Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
CAMELS,2009,6.88862,46.34956,3.142985,0.812753,182.717946
CAMELS,2011,7.35791,46.21909,3.233816,0.855396,187.991602
CAMELS,2016,8.19488,47.48254,2.021483,0.147696,117.316444
CAMELS,2018,8.27127,47.42103,3.130889,0.750041,182.01951
CAMELS,2019,8.09203,46.74574,3.565409,0.760576,207.254577
CAMELS,2020,9.00929,46.19377,3.994564,0.507565,232.284921
CAMELS,2024,7.09128,46.12566,3.202287,0.841597,186.16193
CAMELS,2029,7.28339,47.12206,2.683047,0.283767,155.811631
CAMELS,2030,7.61183,46.76457,3.303898,0.768719,192.058302
CAMELS,2033,9.20635,46.77581,3.552387,0.670266,206.512403
CAMELS,2034,6.93607,46.83591,0.43914,0.605065,25.632017
CAMELS,2044,8.68198,47.59652,3.071299,0.091401,177.882285
CAMELS,2053,7.06275,46.09768,2.947002,0.84886,171.330939
CAMELS,2056,8.62057,46.88391,3.37672,0.70047,196.313406
CAMELS,2063,7.83062,47.26659,1.862981,0.175655,108.179167
CAMELS,2067,10.46542,46.88578,3.160553,0.805763,183.740771
CAMELS,2068,8.91033,46.16339,3.929778,0.485806,228.501952
CAMELS,2070,7.74880,46.95444,3.254719,0.310191,189.228453
CAMELS,2078,10.07996,46.29526,3.474858,0.599938,202.019593
CAMELS,2079,10.07961,46.29551,3.413144,0.289188,198.547729
CAMELS,2084,8.59917,47.00072,3.29648,0.614295,191.560968
CAMELS,2085,7.18435,47.05559,3.09729,0.596778,180.078538
CAMELS,2086,8.96940,46.37647,3.967176,0.575086,230.676359
CAMELS,2087,8.58962,46.64231,3.478983,0.586534,202.243384
CAMELS,2091,7.79990,47.56071,2.855348,0.25805,165.820471
CAMELS,2099,8.52544,47.39059,3.362267,0.575807,195.442491
CAMELS,2102,8.24517,46.89625,3.243531,0.548907,188.546271
CAMELS,2104,9.08841,47.13156,3.21587,0.758995,186.941532
CAMELS,2105,9.83407,46.48469,3.368373,0.680251,195.837466
CAMELS,2106,7.61878,47.51832,1.350254,0.150297,78.507096
CAMELS,2109,7.87153,46.66421,3.475109,0.819238,201.997413
CAMELS,2110,8.39612,47.22235,3.112616,0.751505,180.95703
CAMELS,2112,9.41063,47.33199,3.482092,0.563465,202.330264
CAMELS,2117,7.21308,46.08072,3.153909,0.828882,183.343394
CAMELS,2119,7.16903,46.80387,3.140589,0.382142,182.626166
CAMELS,2122,7.38232,47.28397,0.603394,0.289109,35.281081
CAMELS,2125,8.42497,47.21532,3.225918,0.489999,187.499667
CAMELS,2126,8.95299,47.49633,0.135457,0.11785,8.069621
CAMELS,2130,8.04977,47.55580,2.760395,0.204046,160.157781
CAMELS,2132,8.65294,47.51876,1.919715,0.056697,110.741726
CAMELS,2135,7.44796,46.93309,3.266555,0.776524,189.878884
CAMELS,2139,9.65579,47.44982,3.406395,0.444471,197.969377
CAMELS,2141,9.57413,46.66252,3.086003,0.82404,179.400266
CAMELS,2143,8.32983,47.57035,3.322044,0.429645,193.089438
CAMELS,2150,9.61211,46.97465,3.080053,0.773627,179.041934
CAMELS,2151,7.43942,46.65505,3.243188,0.196287,188.400724
CAMELS,2152,8.29848,47.05401,3.157484,0.83665,183.563256
CAMELS,2155,7.54703,47.16008,3.123609,0.296923,181.487562
CAMELS,2157,7.56088,47.16060,0.384823,0.251306,22.474415
CAMELS,2159,7.50174,46.88522,3.253228,0.19226,189.129688
CAMELS,2160,7.09303,46.60284,0.471638,0.072458,27.618944
CAMELS,2161,8.00671,46.38556,3.719586,0.946402,216.221654
CAMELS,2167,8.85240,45.97200,3.58021,0.178103,208.141397
CAMELS,2170,6.15937,46.18028,2.827627,0.117636,164.543364
CAMELS,2174,5.97074,46.15297,3.210365,0.169606,186.573165
CAMELS,2176,8.52617,47.36773,3.17908,0.39054,184.747796
CAMELS,2179,7.35138,46.88826,3.19511,0.320026,185.793891
CAMELS,2181,9.21155,47.50579,3.526076,0.192078,204.68639
CAMELS,2185,9.51053,46.85969,3.019106,0.792372,175.514864
CAMELS,2187,9.50963,47.23834,4.21554,0.341802,245.070037
CAMELS,2199,7.59546,47.57789,0.464337,0.660789,27.096017
CAMELS,2200,7.89973,46.63127,3.46792,0.805315,201.583868
CAMELS,2202,7.73412,47.48814,1.141937,0.153231,66.516468
